X_gc_pc,Y_gc_pc,Z_gc_pc,R_gc_pc
11957.732283,3069.192836,1096.219008,12345.335395
5355.120283,3813.139504,1780.994133,6573.990122
4002.749653,329.685091,2871.804165,4016.303903
5944.132887,2213.242689,3965.443658,6342.803716
11208.501251,3051.359933,-2546.747795,11616.423621
11057.967864,2630.844931,3129.627611,11366.617717
10857.339754,-1791.643172,3827.468465,11004.172472
11428.369448,-481.245212,-3763.428718,11438.497506
11299.601910,2906.727307,2608.554498,11667.479032
8576.476094,-4632.883520,-1918.129778,9747.797285
7541.911043,4789.384392,1429.807261,8934.126988
9099.259431,-4369.267745,-2300.740959,10093.910185
7840.109034,4723.612593,-1710.865159,9153.132011
5315.962932,-4165.704136,373.465635,6753.706600
4339.104321,1738.338603,-2833.915136,4674.360641
4048.960453,-2701.367419,-1218.268193,4867.388076
9580.944893,-4599.388347,1442.484454,10627.740974
9572.800742,-3691.411032,-3095.827389,10259.874728
7895.398844,3080.231645,3973.616536,8474.971970
3864.051266,1725.272901,2055.936932,4231.720545
10029.223585,-2337.416851,4029.806676,10298.001906
8301.075506,2497.220978,-4370.620203,8668.562002
4197.572259,128.965449,3152.529573,4199.552947
5128.330852,3594.045769,1852.879470,6262.343197
3930.706160,-363.605656,2765.418956,3947.487807
11357.992547,-1620.848018,3498.546221,11473.061623
7089.998439,-2874.900137,-4002.602612,7650.694652
6177.225296,134.783715,4643.218427,6178.695575
6700.213424,-3747.784137,-3048.934922,7677.157407
5995.420467,-4377.043584,-1292.322398,7423.178370
11634.921935,857.224415,3499.657094,11666.457994
11963.626657,349.324269,-3232.560740,11968.725506
8315.909799,3966.382855,-3088.854614,9213.389645
11002.220871,-2199.497665,-3497.423044,11219.922196
8333.697453,4459.585237,2331.596575,9451.900006
3948.082018,2744.501843,-639.992136,4808.288884
8228.452814,3337.943105,-3763.893282,8879.712826
4038.299356,-40.465346,-2947.698339,4038.502091
7960.286975,-975.660554,4935.341026,8019.855499
4196.663332,1729.480352,2635.746805,4539.062173
8523.806955,985.543007,4919.846747,8580.593221
8845.230342,-4608.964494,1895.039329,9973.998872
5320.350085,-355.565409,-4170.114002,5332.218280
7609.009804,-307.028354,-4999.342130,7615.201679
4380.129696,-2132.767444,-2605.395045,4871.779256
11403.703010,3770.494343,583.195052,12010.872988
4048.029364,-2866.224696,-738.123302,4960.018724
7859.126305,1089.907387,4909.390352,7934.340829
5814.904074,-3552.384697,2721.332231,6814.143117
5257.417681,3069.695900,2774.864029,6087.977792
8397.706423,-808.949312,-4958.140023,8436.579411
5847.169809,-4004.433834,-2035.777676,7086.951750
3651.372158,2282.058423,416.204362,4305.845943
8231.570384,-119.353735,5028.800539,8232.435624
6332.056359,-3919.745119,2603.537590,7447.102761
5463.120728,3697.040192,-2142.464720,6596.498637
7701.526648,-2291.505741,-4460.498041,8035.204494
4394.557162,308.006808,3370.562431,4405.337767
6138.704859,2979.593715,-3541.864570,6823.611658
9247.936385,-4628.894332,-1630.902429,10341.711179
11271.884178,-471.610838,-3899.098368,11281.745862
12066.122023,1498.934795,2745.323349,12158.869445
4688.841955,-1875.877513,-3172.119790,5050.163890
7914.251806,1515.760167,-4797.458351,8058.095962
